time_sec,timestamp,origin,destination,gtu_type,demand_veh_h
18600,2025-10-01 05:10:00,N1_1,N5_3,TRUCK,96.0
18600,2025-10-01 05:10:00,N1_1,R6_8,CAR,24.0
18600,2025-10-01 05:10:00,N1_1,R6_8,TRUCK,0.0
18600,2025-10-01 05:10:00,R7_1,N5_3,CAR,144.0
18600,2025-10-01 05:10:00,R7_1,N5_3,TRUCK,36.0
18900,2025-10-01 05:15:00,N1_1,N5_3,CAR,276.0
18900,2025-10-01 05:15:00,N1_1,N5_3,TRUCK,180.0
18900,2025-10-01 05:15:00,N1_1,R6_8,CAR,36.0
18900,2025-10-01 05:15:00,N1_1,R6_8,TRUCK,12.0
18900,2025-10-01 05:15:00,R7_1,N5_3,CAR,156.0
18900,2025-10-01 05:15:00,R7_1,N5_3,TRUCK,24.0
19200,2025-10-01 05:20:00,N1_1,N5_3,CAR,240.0
19200,2025-10-01 05:20:00,N1_1,N5_3,TRUCK,156.0
19200,2025-10-01 05:20:00,N1_1,R6_8,CAR,72.0
19200,2025-10-01 05:20:00,N1_1,R6_8,TRUCK,0.0
19200,2025-10-01 05:20:00,R7_1,N5_3,CAR,180.0
19200,2025-10-01 05:20:00,R7_1,N5_3,TRUCK,24.0
19500,2025-10-01 05:25:00,N1_1,N5_3,CAR,420.0
19500,2025-10-01 05:25:00,N1_1,N5_3,TRUCK,108.0
19500,2025-10-01 05:25:00,N1_1,R6_8,CAR,84.0
19500,2025-10-01 05:25:00,N1_1,R6_8,TRUCK,0.0
19500,2025-10-01 05:25:00,R7_1,N5_3,CAR,120.0
